Stock_Code,Change_Status,Date
ASTOR,1,14-09-2023
ENJSA,1,14-09-2023
TCELL,1,14-09-2023
TTKOM,0,14-09-2023
OYAKC,0,14-09-2023
KONYA,0,14-09-2023
YBTAS,0,14-09-2023
EREGL,0,14-09-2023
KRDMD,1,14-09-2023
TOASO,1,14-09-2023
FROTO,1,14-09-2023
BIMAS,1,14-09-2023
SOKM,0,14-09-2023
ARCLK,1,14-09-2023
VESTL,1,14-09-2023
THYAO,1,14-09-2023
PGSUS,1,14-09-2023
