Stock_Code,Change_Status,Date
ASTOR,1,12-09-2023
ENJSA,0,12-09-2023
TCELL,1,12-09-2023
TTKOM,1,12-09-2023
OYAKC,0,12-09-2023
KONYA,0,12-09-2023
YBTAS,-1,12-09-2023
EREGL,-1,12-09-2023
KRDMD,1,12-09-2023
TOASO,1,12-09-2023
FROTO,-1,12-09-2023
BIMAS,0,12-09-2023
SOKM,1,12-09-2023
ARCLK,0,12-09-2023
VESTL,-1,12-09-2023
THYAO,0,12-09-2023
PGSUS,0,12-09-2023
