Stock_Code,Change_Status,Date
ASTOR,-1,06-09-2023
ENJSA,0,06-09-2023
TCELL,-1,06-09-2023
TTKOM,1,06-09-2023
OYAKC,0,06-09-2023
KONYA,1,06-09-2023
YBTAS,0,06-09-2023
EREGL,0,06-09-2023
KRDMD,0,06-09-2023
TOASO,-1,06-09-2023
FROTO,-1,06-09-2023
BIMAS,-1,06-09-2023
SOKM,-1,06-09-2023
ARCLK,-1,06-09-2023
VESTL,-1,06-09-2023
THYAO,-1,06-09-2023
PGSUS,0,06-09-2023
