Stock_Code,Change_Status,Date
ASTOR,0,08-09-2023
ENJSA,-1,08-09-2023
TCELL,0,08-09-2023
TTKOM,1,08-09-2023
OYAKC,-1,08-09-2023
KONYA,-1,08-09-2023
YBTAS,1,08-09-2023
EREGL,-1,08-09-2023
KRDMD,-1,08-09-2023
TOASO,1,08-09-2023
FROTO,1,08-09-2023
BIMAS,-1,08-09-2023
SOKM,-1,08-09-2023
ARCLK,1,08-09-2023
VESTL,0,08-09-2023
THYAO,0,08-09-2023
PGSUS,-1,08-09-2023
