Stock_Code,Change_Status,Date
ASTOR,1,07-09-2023
ENJSA,1,07-09-2023
TCELL,1,07-09-2023
TTKOM,0,07-09-2023
OYAKC,1,07-09-2023
KONYA,1,07-09-2023
YBTAS,1,07-09-2023
EREGL,1,07-09-2023
KRDMD,1,07-09-2023
TOASO,1,07-09-2023
FROTO,0,07-09-2023
BIMAS,1,07-09-2023
SOKM,1,07-09-2023
ARCLK,1,07-09-2023
VESTL,1,07-09-2023
THYAO,0,07-09-2023
PGSUS,0,07-09-2023
