Stock_Code,Change_Status,Date
ASTOR,1,04-09-2023
ENJSA,-1,04-09-2023
TCELL,1,04-09-2023
TTKOM,0,04-09-2023
OYAKC,1,04-09-2023
KONYA,-1,04-09-2023
YBTAS,0,04-09-2023
EREGL,0,04-09-2023
KRDMD,0,04-09-2023
TOASO,-1,04-09-2023
FROTO,-1,04-09-2023
BIMAS,1,04-09-2023
SOKM,0,04-09-2023
ARCLK,-1,04-09-2023
VESTL,-1,04-09-2023
THYAO,0,04-09-2023
PGSUS,0,04-09-2023
