Stock_Code,Change_Status,Date
ASTOR,-1,26-09-2023
ENJSA,-1,26-09-2023
TCELL,-1,26-09-2023
TTKOM,-1,26-09-2023
OYAKC,-1,26-09-2023
KONYA,-1,26-09-2023
YBTAS,-1,26-09-2023
EREGL,-1,26-09-2023
KRDMD,-1,26-09-2023
TOASO,0,26-09-2023
FROTO,-1,26-09-2023
BIMAS,0,26-09-2023
SOKM,0,26-09-2023
ARCLK,-1,26-09-2023
VESTL,-1,26-09-2023
THYAO,-1,26-09-2023
PGSUS,0,26-09-2023
