,Accuracy,Loss,Time
1,0.29,1.12,36.6
2,0.43,1.09,42.37
3,0.41,1.11,42.67
4,0.42,1.1,43.27
5,0.44,1.1,42.75
6,0.38,1.11,43.38
7,0.41,1.12,42.84
8,0.33,1.12,40.54
9,0.34,1.16,45.02
10,0.33,1.18,41.94
