,Accuracy,Loss,Time
1,0.37,1.16,23.73
2,0.36,1.13,24.65
3,0.34,1.18,22.65
4,0.38,1.11,24.64
5,0.36,1.14,23.63
6,0.28,1.23,23.86
7,0.37,1.26,24.23
8,0.36,1.35,23.71
9,0.38,1.42,24.49
10,0.39,1.46,22.35
