,Accuracy,Loss,Time
1,0.41,1.09,22.16
2,0.36,1.14,22.99
3,0.39,1.36,22.34
4,0.39,1.16,22.4
5,0.37,1.27,22.88
6,0.38,1.19,21.9
7,0.34,1.29,22.05
8,0.36,1.35,21.75
9,0.36,1.4,21.46
10,0.37,1.44,22.7
