,Accuracy,Loss,Time
1,0.43,1.08,37.12
2,0.39,1.09,34.9
3,0.29,1.11,35.24
4,0.44,1.09,35.83
5,0.42,1.08,35.22
6,0.36,1.11,35.59
7,0.41,1.13,38.94
8,0.39,1.12,39.86
9,0.39,1.16,37.08
10,0.39,1.16,36.38
