,Accuracy,Loss,Time
1,0.39,3.19,37.2
2,0.28,1.91,38.3
3,0.37,1.17,38.93
4,0.4,1.1,38.29
5,0.27,1.25,37.95
6,0.39,1.16,37.41
7,0.38,1.12,36.96
8,0.41,1.16,36.49
9,0.36,1.15,36.77
10,0.38,1.13,38.68
